path_idx	node	event	event_count	C_ancestor	C_derived	Migration	BigL	hetA	fixed	hetB	hetAB
85	3	BigL	1	0	3	1	1	2	0	2	0
85	4	C_ancestor	4	6	0	0	0	2	0	2	0
85	12	C_ancestor	1	3	0	0	0	1	0	1	1
85	19	C_ancestor	1	1	0	0	0	2	0	0	0
85	LCA	LCA	0	0	0	0	0	0	0	0	0
86	0	Migration	2	1	1	2	1	2	0	2	0
86	3	BigL	1	0	3	1	1	2	0	2	0
86	4	C_ancestor	1	6	0	0	0	2	0	2	0
86	9	C_ancestor	1	3	0	0	0	2	1	0	0
86	14	C_ancestor	1	1	0	0	0	0	2	0	0
86	LCA	LCA	0	0	0	0	0	0	0	0	0
87	0	Migration	2	1	1	2	1	2	0	2	0
87	3	BigL	1	0	3	1	1	2	0	2	0
87	4	C_ancestor	1	6	0	0	0	2	0	2	0
87	9	C_ancestor	2	3	0	0	0	2	1	0	0
87	19	C_ancestor	1	1	0	0	0	2	0	0	0
87	LCA	LCA	0	0	0	0	0	0	0	0	0
88	0	BigL	1	1	1	2	1	2	0	2	0
88	4	C_ancestor	1	6	0	0	0	2	0	2	0
88	7	C_ancestor	2	3	0	0	0	0	1	2	0
88	16	C_ancestor	1	1	0	0	0	0	0	2	0
88	LCA	LCA	0	0	0	0	0	0	0	0	0
89	0	BigL	1	1	1	2	1	2	0	2	0
89	4	C_ancestor	1	6	0	0	0	2	0	2	0
89	7	C_ancestor	1	3	0	0	0	0	1	2	0
89	14	C_ancestor	1	1	0	0	0	0	2	0	0
89	LCA	LCA	0	0	0	0	0	0	0	0	0
90	0	BigL	1	1	1	2	1	2	0	2	0
90	4	C_ancestor	4	6	0	0	0	2	0	2	0
90	12	C_ancestor	1	3	0	0	0	1	0	1	1
90	16	C_ancestor	1	1	0	0	0	0	0	2	0
90	LCA	LCA	0	0	0	0	0	0	0	0	0
91	0	BigL	1	1	1	2	1	2	0	2	0
91	4	C_ancestor	4	6	0	0	0	2	0	2	0
91	12	C_ancestor	1	3	0	0	0	1	0	1	1
91	21	C_ancestor	1	1	0	0	0	0	0	0	2
91	LCA	LCA	0	0	0	0	0	0	0	0	0
92	0	BigL	1	1	1	2	1	2	0	2	0
92	4	C_ancestor	4	6	0	0	0	2	0	2	0
92	12	C_ancestor	1	3	0	0	0	1	0	1	1
92	19	C_ancestor	1	1	0	0	0	2	0	0	0
92	LCA	LCA	0	0	0	0	0	0	0	0	0
93	0	BigL	1	1	1	2	1	2	0	2	0
93	4	C_ancestor	1	6	0	0	0	2	0	2	0
93	9	C_ancestor	1	3	0	0	0	2	1	0	0
